name,card_id,rare
カエルスライム,,Ultra
きまぐれの女神,,Ultra
クレセント・ドラゴン,,Ultra
コスモクイーン,,Ultra
大砲だるま,,Ultra
ダンシング・エルフ,,Ultra
ツルプルン,,Ultra
時の魔術師,,Secret
封印されしエクゾディア,,Ultra
メテオ・ドラゴン,,Ultra
マジシャン・オブ・ブラックカオス,,Ultra
ゲート・ガーディアン,,Ultra
トライホーン・ドラゴン,,Ultra
千年原人,,Ultra
エビルナイト・ドラゴン,,Ultra
ファイヤー・ウイング・ペガサス,,Ultra
メテオ・ブラック・ドラゴン,,Ultra
青眼の究極竜,,Secret
